LAT,LON,TYPE,NAME,COUNTRY,CITY,IATA
-29.99440002,-51.17139816,MED,Salgado Filho Airport,BR,Porto Alegre,POA
-22.17510033,-51.42459869,MED,Presidente Prudente Airport,BR,Presidente Prudente,PPB
-10.29150009,-48.35699844,MED,Brigadeiro Lysias Rodrigues Airport,BR,Palmas,PMW
-3.038609982,-60.04970169,MED,Eduardo Gomes International Airport,BR,Manaus,MAO
-23.43555641,-46.47305679,LAR,Guarulhos - Governador Andra Franco Montoro International Airport,BR,Sao Paulo,GRU
-22.80999947,-43.25055695,LAR,Rio Galealo ae Tom Jobim International Airport,BR,Rio De Janeiro,GIG
-27.67027855,-48.55250168,LAR,Herca­lio Luz International Airport,BR,Florianapolis,FLN
-12.9086113,-38.32249832,LAR,Deputado Luiz Eduardo Magalha£es International Airport,BR,Salvador,SSA
-23.62611008,-46.65638733,LAR,Congonhas Airport,BR,Sao Paulo,CGH
-15.86916733,-47.92083359,LAR,Presidente Juscelino Kubistschek International Airport,BR,Brasilia,BSB
-25.5284996,-49.17580032,LAR,Afonso Pena Airport,BR,Curitiba,CWB
23.582317,-75.268621,MED,Stella Maris Airport,BS,Stella Maris,SML
26.74530029,-77.39129639,MED,Treasure Cay Airport,BS,Treasure Cay,TCB
24.06329918,-74.52400208,MED,San Salvador Airport,BS,San Salvador,ZSA
25.05380058,-78.0490036,MED,San Andros Airport,BS,Andros Island,SAQ
25.03899956,-77.46620178,LAR,Lynden Pindling International Airport,BS,Nassau,NAS
27.40320015,89.42459869,MED,Paro Airport,BT,Paro,PBH
-24.555201,25.9182,LAR,Sir Seretse Khama International Airport,BW,Gaborone,GBE
53.88249969,28.03070068,LAR,Minsk National Airport,BY,Minsk,MSQ
17.9139,-87.9711,MED,San Pedro Airport,BZ,San Pedro,SPR
17.53910065,-88.30819702,LAR,Philip S. W. Goldson International Airport,BZ,Belize City,BZE
46.1614,-60.047798,MED,Sydney / J.A. Douglas McCurdy Airport,CA,Sydney,YQY
51.26470184,-102.461998,MED,Yorkton Municipal Airport,CA,Yorkton,YQV
42.27560043,-82.95559692,MED,Windsor Airport,CA,Windsor,YQG
52.18310165,-122.0540009,MED,Williams Lake Airport,CA,Williams Lake,YWL
44.7458,-81.107201,MED,Wiarton Airport,CA,Wiarton,YVV
60.70959854,-135.0670013,MED,Whitehorse / Erik Nielsen International Airport,CA,Whitehorse,YXY
50.24810028,-119.3310013,MED,Vernon Airport,CA,Vernon,YVE
48.05329895,-77.78279877,MED,Val-d'Or Airport,CA,Val-d'Or,YVO
59.56140137,-108.4810028,MED,Uranium City Airport,CA,Uranium City,YBE
43.627499,-79.396202,MED,Billy Bishop Toronto City Centre Airport,CA,Toronto,YTZ
43.74250031,-79.46559906,MED,Downsview Airport,CA,Toronto,YZD
43.86220169,-79.37000275,MED,Buttonville Municipal Airport,CA,Toronto,YKZ
48.37189865,-89.32389832,MED,Thunder Bay Airport,CA,Thunder Bay,YQT
45.29439926,-73.28109741,MED,St Jean Airport,CA,St Jean,YJN
55.93541045,-129.9824345,MED,Stewart Airport,CA,Stewart,ZST
48.5442009,-58.54999924,MED,Stephenville Airport,CA,Stephenville,YJT
51.21170044,-58.65829849,MED,St Augustin Airport,CA,St-Augustin,YIF
42.77000046,-81.1108017,MED,St Thomas Municipal Airport,CA,St Thomas,YQS
53.84560013,-94.85189819,MED,St. Theresa Point Airport,CA,St. Theresa Point,YST
47.15750122,-67.83470154,MED,St Leonard Airport,CA,St Leonard,YSL
43.19169998,-79.17169952,MED,Niagara District Airport,CA,St Catharines,YCM
51.39189911,-56.08309937,MED,St. Anthony Airport,CA,St. Anthony,YAY
56.7928009,-98.90720367,MED,South Indian Lake Airport,CA,South Indian Lake,XSI
46.7911,-71.393303,MED,Quebec Jean Lesage International Airport,CA,Quebec,YQB
44.94580078,-75.94059753,MED,Smiths Falls-Montague (Russ Beach) Airport,CA,Smiths Falls,YSH
54.8246994,-127.1829987,MED,Smithers Airport,CA,Smithers,YYD
54.80530167,-66.80529785,MED,Schefferville Airport,CA,Schefferville,YKL
45.679501,-74.038696,MED,Montreal International (Mirabel) Airport,CA,Montreal,YMX
52.18220139,-113.8939972,MED,Red Deer Regional Airport,CA,Red Deer,YQF
58.49140167,-119.4079971,MED,Rainbow Lake Airport,CA,Rainbow Lake,YOP
54.28609848,-130.4450073,MED,Prince Rupert Airport,CA,Prince Rupert,YPR
53.88940048,-122.6790009,MED,Prince George Airport,CA,Prince George,YXS
53.21419907,-105.6729965,MED,Prince Albert Glass Field,CA,Prince Albert,YPA
58.27669907,-104.0820007,MED,Points North Landing Airport,CA,Points North Landing,YNL
49.52059937,-113.9970016,MED,Pincher Creek Airport,CA,Pincher Creek,WPC
51.44639969,-90.21420288,MED,Pickle Lake Airport,CA,Pickle Lake,YPL
44.22999954,-78.36329651,MED,Peterborough Airport,CA,Peterborough,YPQ
54.93330002,-95.27890015,MED,Oxford House Airport,CA,Oxford House,YOH
45.46030045,-75.64610291,MED,Ottawa / Rockcliffe Airport,CA,Ottawa,YRO
53.95830154,-97.84420013,MED,Norway House Airport,CA,Norway House,YNE
46.363602,-79.422798,MED,North Bay Jack Garland Airport,CA,North Bay,YYB
52.76919937,-108.2440033,MED,North Battleford Airport,CA,North Battleford,YQW
65.28160095,-126.7979965,MED,Norman Wells Airport,CA,Norman Wells,YVQ
52.30279922,-55.84719849,MED,Mary's Harbour Airport,CA,Mary's Harbour,YMH
48.75529861,-86.3443985,MED,Marathon Airport,CA,Marathon,YSP
56.86389923,-101.0759964,MED,Lynn Lake Airport,CA,Lynn Lake,YYL
43.035599,-81.1539,MED,London Airport,CA,London,YXU
53.30920029,-110.072998,MED,Lloydminster Airport,CA,Lloydminster,YLL
52.04560089,-95.46579742,MED,Little Grand Rapids Airport,CA,Little Grand Rapids,ZGR
49.63029861,-112.8000031,MED,Lethbridge County Airport,CA,Lethbridge,YQL
56.51330185,-99.98529816,MED,Leaf Rapids Airport,CA,Leaf Rapids,YLR
55.17969894,-118.8850021,MED,Grande Prairie Airport,CA,Grande Prairie,YQU
54.83969879,-94.07859802,MED,Gods River Airport,CA,Gods River,ZGI
54.55889893,-94.49140167,MED,Gods Lake Narrows Airport,CA,Gods Lake Narrows,YGO
59.33440018,-107.1819992,MED,Fond-Du-Lac Airport,CA,Fond-Du-Lac,ZFD
44.54584504,-65.78542471,MED,Digby / Annapolis Regional Airport,CA,Digby,YDG
52.65579987,-94.06140137,MED,Deer Lake Airport,CA,Deer Lake,YVZ
49.21080017,-57.39139938,MED,Deer Lake Airport,CA,Deer Lake,YDF
55.74229813,-120.1829987,MED,Dawson Creek Airport,CA,Dawson Creek,YDQ
64.04309845,-139.128006,MED,Dawson City Airport,CA,Dawson City,YDA
64.19329834,-83.35939789,MED,Coral Harbour Airport,CA,Coral Harbour,YZS
49.10559845,-81.01360321,MED,Cochrane Airport,CA,Cochrane,YCN
58.73920059,-94.06500244,MED,Churchill Airport,CA,Churchill,YYQ
44.1189003,-77.52809906,MED,CFB Trenton,CA,Trenton,YTR
44.9844017,-64.91690063,MED,CFB Greenwood,CA,Greenwood,YZX
53.31919861,-60.42580032,MED,Goose Bay Airport,CA,Goose Bay,YYR
49.0742,-123.012001,MED,Boundary Bay Airport,CA,Vancouver,YDT
53.81779861,-89.89689636,MED,Big Trout Lake Airport,CA,Big Trout Lake,YTL
64.29889679,-96.07779694,MED,Baker Lake Airport,CA,Baker Lake,YBK
49.90999985,-97.23989868,LAR,Winnipeg / James Armstrong Richardson International Airport,CA,Winnipeg,YWG
48.64690018,-123.4260025,LAR,Victoria International Airport,CA,Victoria,YYJ
49.19390106,-123.1839981,LAR,Vancouver International Airport,CA,Vancouver,YVR
43.67720032,-79.63059998,LAR,Lester B. Pearson International Airport,CA,Toronto,YYZ
47.61859894,-52.75189972,LAR,St. John's International Airport,CA,St. John's,YYT
45.32249832,-75.66919708,LAR,Ottawa Macdonald-Cartier International Airport,CA,Ottawa,YOW
53.30970001,-113.5800018,LAR,Edmonton International Airport,CA,Edmonton,YEG
45.47060013,-73.74079895,LAR,Montreal / Pierre Elliott Trudeau International Airport,CA,Montraal,YUL
51.11389923,-114.0199966,LAR,Calgary International Airport,CA,Calgary,YYC
-12.18830013,96.83390045,MED,Cocos (Keeling) Islands Airport,CC,Cocos (Keeling) Islands,CCK
-4.38575,15.4446,LAR,Ndjili International Airport,CD,Kinshasa,FIH
4.398479939,18.51880074,MED,Bangui M'Poko International Airport,CF,Bangui,BGF
-4.816030025,11.88659954,MED,Pointe Noire Airport,CG,Pointe Noire,PNR
-4.251699924,15.25300026,MED,Maya-Maya Airport,CG,Brazzaville,BZV
46.91410065,7.497149944,MED,Bern Belp Airport,CH,Bern,BRN
47.464699,8.54917,LAR,Zurich Airport,CH,Zurich,ZRH
46.23809814,6.108950138,LAR,Geneva Cointrin International Airport,CH,Geneva,GVA
6.903170109,-5.365580082,MED,Yamoussoukro Airport,CI,Yamoussoukro,ASK
-21.20269966,-159.8059998,LAR,Rarotonga International Airport,CK,Avarua,RAR
-39.65000153,-73.08609772,MED,Pichoy Airport,CL,Valdivia,ZAL
-27.16480064,-109.4219971,MED,Mataveri Airport,CL,Isla De Pascua,IPC
-29.916201,-71.199501,MED,La Florida Airport,CL,La Serena-Coquimbo,LSC
-36.58250046,-72.03140259,MED,Gral. Bernardo OÂ´Higgins Airport,CL,Chillan,YAI
-41.43889999,-73.09400177,MED,El Tepual Airport,CL,Puerto Montt,PMC
-36.772701,-73.063103,MED,Carriel Sur Airport,CL,Concepcion,CCP
-33.39300156,-70.78579712,LAR,Comodoro Arturo Merino Bena­tez International Airport,CL,Santiago,SCL
5.536920071,10.35459995,MED,Bafoussam Airport,CM,Bafoussam,BFX
34.376701,109.120003,MED,Xi'an Xiguan Airport,CN,Xi'an,SIA
38.322758,106.393214,MED,Yinchuan Hedong International Airport,CN,Yinchuan,INC
32.5634,119.7198,MED,Yangzhou Taizhou Airport,CN,Yangzhou and Taizhou,YTY
26.802,110.642,MED,Shaoyang Wugang Airport,CN,Shaoyang,WGN
28.3797,117.9643,MED,Shangrao Sanqingshan Airport,CN,Shangrao,SQD
24.7964,118.589996,MED,Quanzhou Jinjiang International Airport,CN,Quanzhou,JJN
35.799702,107.602997,MED,Qingyang Airport,CN,Qingyang,IQN
24.2075,109.390999,MED,Liuzhou Bailian Airport,CN,Liuzhou,LZH
45.505278,123.019722,MED,Baicheng Chang'an Airport,CN,Baicheng,DBC
29.323056,100.053333,MED,Daocheng Yading Airport,CN,Daocheng County,DCY
41.1225,118.073889,MED,Chengde Puning Airport,CN,Chengde,CDE
41.538101,120.434998,MED,Chaoyang Airport,CN,Chaoyang,CHG
23.273889,99.373611,MED,Cangyuan Washan Airport,CN,Cangyuan Va Autonomous County,CWJ
37.573125,105.154454,MED,Zhongwei Shapotou Airport,CN,Zhongwei,ZHY
27.44111111,109.7,MED,Zhijiang Airport,CN,Huaihua,HJJ
21.214399,110.358002,MED,Zhanjiang Airport,CN,Zhanjiang,ZHA
38.80189896,100.6750031,MED,Zhangye Ganzhou Airport,CN,Zhangye,YZY
40.73860168,114.9300003,MED,Zhangjiakou Ningyuan Airport,CN,Zhangjiakou,ZQZ
26.338661,111.610043,MED,Lingling Airport,CN,Yongzhou,LLF
34.059056,117.555278,MED,Xuzhou Guanyin Airport,CN,Xuzhou,XUZ
25.08638889,104.9594444,MED,Xingyi Airport,CN,Xingyi,ACX
27.9890995,102.1839981,MED,Xichang Qingshan Airport,CN,Xichang,XIC
34.55939865,105.8600006,MED,Tianshui Maijishan Airport,CN,Tianshui,THQ
36.26610184,120.3740005,MED,Liuting Airport,CN,Qingdao,TAO
29.51333333,108.8311111,MED,Qianjiang Wulingshan Airport,CN,Qianjiang,JIQ
41.10139847,121.0619965,MED,Jinzhou Airport,CN,Jinzhou,JNZ
26.85689926,114.7369995,MED,Jinggangshan Airport,CN,Ji'an,JGS
33.79083333,119.125,MED,Lianshui Airport,CN,Huai'an,HIA
37.50859833,118.788002,MED,Dongying Shengli Airport,CN,Dongying,DOY
27.7936,99.6772,MED,Diqing Airport,CN,Shangri-La,DIG
40.0247,124.286003,MED,Dandong Airport,CN,Dandong,DDG
25.649401,100.319,MED,Dali Airport,CN,Xiaguan,DLU
42.23500061,118.9079971,MED,Chifeng Airport,CN,Chifeng,CIF
39.26666667,122.6669444,MED,Changhai Airport,CN,Changhai,CNI
28.91889954,111.6399994,MED,Changde Airport,CN,Changde,CGD
27.912201,120.851997,LAR,Wenzhou Longwan International Airport,CN,Wenzhou,WNZ
25.1019444,102.9291667,LAR,Kunming Changshui International Airport,CN,Kunming,KMG
39.509945,116.41092,LAR,Beijing Daxing International Airport,CN,Beijing,PKX
34.5196991,113.8410034,LAR,Zhengzhou Xinzheng International Airport,CN,Zhengzhou,CGO
34.447102,108.751999,LAR,Xi'an Xianyang International Airport,CN,Xi'an,XIY
24.54400063,118.1279984,LAR,Xiamen Gaoqi International Airport,CN,Xiamen,XMN
30.7838,114.208,LAR,Wuhan Tianhe International Airport,CN,Wuhan,WUH
39.12440109,117.3460007,LAR,Tianjin Binhai International Airport,CN,Tianjin,TSN
37.74689865,112.6279984,LAR,Taiyuan Wusu Airport,CN,Taiyuan,TYN
22.63929939,113.810997,LAR,Shenzhen Bao'an International Airport,CN,Shenzhen,SZX
41.63980103,123.4830017,LAR,Taoxian Airport,CN,Shenyang,SHE
31.14340019,121.8050003,LAR,Shanghai Pudong International Airport,CN,Shanghai,PVG
31.19790077,121.3359985,LAR,Shanghai Hongqiao International Airport,CN,Shanghai,SHA
